g,z,Qz_numeric
9.883720930232557933e-01,1.131599968571378234e+00,4.656632867749976312e-01
9.883720930232557933e-01,1.979097006227052313e+00,-1.863095103971090516e-01
9.883720930232557933e-01,2.851023762905906089e+00,3.105649700074764041e-01
9.888372093023255482e-01,1.125409501151370950e+00,4.744923117527832246e-01
9.888372093023255482e-01,1.981747449011676432e+00,-1.886070450041188173e-01
9.888372093023255482e-01,2.855990956487250987e+00,3.130367389303501113e-01
9.893023255813953032e-01,1.119298810680930956e+00,4.832934866527693329e-01
9.893023255813953032e-01,1.984309437767408868e+00,-1.908991560384265262e-01
9.893023255813953032e-01,2.860965483720743663e+00,3.155338774263327650e-01
9.897674418604650581e-01,1.113265053083765777e+00,4.920682076914317249e-01
9.897674418604650581e-01,1.986786347152683430e+00,-1.931866830062744789e-01
9.897674418604650581e-01,2.865946815914279355e+00,3.180558696413982034e-01
9.902325581395349241e-01,1.107305549317314064e+00,5.008177858201179333e-01
9.902325581395349241e-01,1.989181371615892813e+00,-1.954703915174604567e-01
9.902325581395349241e-01,2.870934439548267658e+00,3.206022014978771040e-01
9.906976744186046790e-01,1.101417772188411304e+00,5.095434588042735413e-01
9.906976744186046790e-01,1.991497538774488429e+00,-1.977509782591368726e-01
9.906976744186046790e-01,2.875927856081138767e+00,3.231723717078693880e-01
9.911627906976744340e-01,1.095599334497603383e+00,5.182463919339852509e-01
9.911627906976744340e-01,1.993737721481291469e+00,-2.000290759696099208e-01
9.911627906976744340e-01,2.880926581738961101e+00,3.257658839572741272e-01
9.916279069767441889e-01,1.089847978351331959e+00,5.269276861952221225e-01
9.916279069767441889e-01,1.995904648736007703e+00,-2.023052623201237743e-01
9.916279069767441889e-01,2.885930147291110970e+00,3.283822486821463826e-01
9.920930232558139439e-01,1.084161565505099123e+00,5.355883839541775160e-01
9.920930232558139439e-01,1.998000915579291714e+00,-2.045800602701319526e-01
9.920930232558139439e-01,2.890938097813281704e+00,3.310209848450540449e-01
9.925581395348836988e-01,1.078538068619858681e+00,5.442294714441686665e-01
9.925581395348836988e-01,2.000028992086452018e+00,-2.068539465938101507e-01
9.925581395348836988e-01,2.895949992438424658e+00,3.336816199350778334e-01
9.930232558139534538e-01,1.072975563319789272e+00,5.528518844499785700e-01
9.930232558139534538e-01,2.001991231561699003e+00,-2.091273557880412859e-01
9.930232558139534538e-01,2.900965404103544198e+00,3.363636881914544574e-01
9.934883720930232087e-01,1.067472220977941477e+00,5.614565125711123983e-01
9.934883720930232087e-01,2.003889878022897530e+00,-2.114006814935009693e-01
9.934883720930232087e-01,2.905983919278349425e+00,3.390667316693907196e-01
9.939534883720930747e-01,1.062026302134715383e+00,5.700441995770688663e-01
9.939534883720930747e-01,2.005727073051786213e+00,-2.136742800473711845e-01
9.939534883720930747e-01,2.911005137698909007e+00,3.417902988189779889e-01
9.944186046511628296e-01,1.056636150494240312e+00,5.786157494469534868e-01
9.944186046511628296e-01,2.007504862077675423e+00,-2.159484772334962777e-01
9.944186046511628296e-01,2.916028672087674689e+00,3.445339505248056766e-01
9.948837209302325846e-01,1.051300187425202814e+00,5.871719270800213053e-01
9.948837209302325846e-01,2.009225200153145874e+00,-2.182235675718402212e-01
9.948837209302325846e-01,2.921054147873209050e+00,3.472972487372771311e-01
9.953488372093023395e-01,1.046016906931416912e+00,5.957134654011042585e-01
9.953488372093023395e-01,2.010889957273112039e+00,-2.204998168053861896e-01
9.953488372093023395e-01,2.926081202904583289e+00,3.500797678412936320e-01
9.958139534883720945e-01,1.040784871028501257e+00,6.042410596762692876e-01
9.958139534883720945e-01,2.012500923282730003e+00,-2.227774650975788695e-01
9.958139534883720945e-01,2.931109487165818539e+00,3.528810889719124488e-01
9.962790697674418494e-01,1.035602705496118991e+00,6.127553767498739035e-01
9.962790697674418494e-01,2.014059812413770967e+00,-2.250567305850381394e-01
9.962790697674418494e-01,2.936138662485812123e+00,3.557008007248895765e-01
9.967441860465116044e-01,1.030469095966279225e+00,6.212570546892948187e-01
9.967441860465116044e-01,2.015568267485045695e+00,-2.273378093775590691e-01
9.967441860465116044e-01,2.941168402251009617e+00,3.585384984461369995e-01
9.972093023255813593e-01,1.025382784316483331e+00,6.297467027849279475e-01
9.972093023255813593e-01,2.017027863798609211e+00,-2.296208776897401271e-01
9.972093023255813593e-01,2.946198391116327198e+00,3.613937852975367959e-01
9.976744186046511143e-01,1.020342565335996543e+00,6.382249065239875563e-01
9.976744186046511143e-01,2.018440112758883132e+00,-2.319060925515259164e-01
9.976744186046511143e-01,2.951228324717273921e+00,3.642662736780266086e-01
9.981395348837209802e-01,1.015347283649380650e+00,6.466922268799635276e-01
9.981395348837209802e-01,2.019806465239771587e+00,-2.341935957161922210e-01
9.981395348837209802e-01,2.956257909382727700e+00,3.671555813156145986e-01
9.986046511627907352e-01,1.010395830858631605e+00,6.551492020889781998e-01
9.986046511627907352e-01,2.021128314721984953e+00,-2.364835157919742137e-01
9.986046511627907352e-01,2.961286861854009356e+00,3.700613341095503883e-01
9.990697674418604901e-01,1.005487142900338027e+00,6.635963483603291024e-01
9.990697674418604901e-01,2.022407000220976858e+00,-2.387759618471818335e-01
9.990697674418604901e-01,2.966314908999386546e+00,3.729831647092395897e-01
9.995348837209302451e-01,1.000620197587470228e+00,6.720341652055594750e-01
9.995348837209302451e-01,2.023643809021300477e+00,-2.410710347788835584e-01
9.995348837209302451e-01,2.971341787537552293e+00,3.759207132247865402e-01
1.000000000000000000e+00,9.957940123271299404e-01,6.804631290435735336e-01
1.000000000000000000e+00,2.024839979236074505e+00,-2.433688219838358868e-01
1.000000000000000000e+00,2.976367243761822934e+00,3.788736279375370386e-01
