t,selected,mass,export,input_monomers,input_molecules
1.427356130108423748e+01,3.441311466220960957e-01,1.000000000000000000e+01,1.952186371374216023e+01,1.427356130108423713e+02,8.564136780650545688e+01
1.443953294412010102e+01,3.441311466220954296e-01,9.999999999999998224e+00,1.975032778890931695e+01,1.443953294412009996e+02,8.663719766472064521e+01
1.460550458715596456e+01,3.441311466220948190e-01,1.000000000000000000e+01,1.997879186407647367e+01,1.460550458715596278e+02,8.763302752293581932e+01
1.477147623019182809e+01,3.441311466220943194e-01,9.999999999999998224e+00,2.020725593924363395e+01,1.477147623019182561e+02,8.862885738115100764e+01
1.493744787322769163e+01,3.441311466220938198e-01,1.000000000000000000e+01,2.043572001441079777e+01,1.493744787322768843e+02,8.962468723936618176e+01
1.510341951626355339e+01,3.441311466220933757e-01,1.000000000000000178e+01,2.066418408957795805e+01,1.510341951626355126e+02,9.062051709758135587e+01
1.526939115929941693e+01,3.441311466220929871e-01,1.000000000000000178e+01,2.089264816474512187e+01,1.526939115929941408e+02,9.161634695579654419e+01
1.543536280233528046e+01,3.441311466220927096e-01,1.000000000000000000e+01,2.112111223991228570e+01,1.543536280233527691e+02,9.261217681401173252e+01
1.560133444537114400e+01,3.441311466220925430e-01,1.000000000000000178e+01,2.134957631507945308e+01,1.560133444537113974e+02,9.360800667222690663e+01
1.576730608840700754e+01,3.441311466220923765e-01,9.999999999999998224e+00,2.157804039024662046e+01,1.576730608840700540e+02,9.460383653044209495e+01
1.593327773144287107e+01,3.441311466220922100e-01,9.999999999999996447e+00,2.180650446541378784e+01,1.593327773144286823e+02,9.559966638865728328e+01
1.609924937447873461e+01,3.441311466220919879e-01,1.000000000000000000e+01,2.203496854058095522e+01,1.609924937447873106e+02,9.659549624687245739e+01
1.626522101751459815e+01,3.441311466220918769e-01,1.000000000000000000e+01,2.226343261574812260e+01,1.626522101751459388e+02,9.759132610508763150e+01
