t,selected,mass,export,input_monomers,input_molecules
1.194995829858215330e+01,1.999986988754675731e-09,1.000000000000000000e+01,2.452792001402975648e-06,1.194995829858215899e+02,7.169974979149291983e+01
1.211592994161801506e+01,1.999988964458916841e-09,1.000000000000000178e+01,2.489969426422109271e-06,1.211592994161802039e+02,7.269557964970809394e+01
1.228190158465387860e+01,1.999990638027561561e-09,9.999999999999998224e+00,2.527146885280428095e-06,1.228190158465388322e+02,7.369140950792328226e+01
1.244787322768974214e+01,1.999992055661440906e-09,1.000000000000000000e+01,2.564324372803438762e-06,1.244787322768974605e+02,7.468723936613847059e+01
1.261384487072560567e+01,1.999993256492376887e-09,1.000000000000000178e+01,2.601501884608377232e-06,1.261384487072561029e+02,7.568306922435364470e+01
1.277981651376146921e+01,1.999994273673930998e-09,1.000000000000000000e+01,2.638679416982046307e-06,1.277981651376147312e+02,7.667889908256883302e+01
1.294578815679733275e+01,1.999995135299192117e-09,1.000000000000000178e+01,2.675856966778018012e-06,1.294578815679733736e+02,7.767472894078400714e+01
1.311175979983319451e+01,1.999995865163125193e-09,1.000000000000000000e+01,2.713034531331257341e-06,1.311175979983319735e+02,7.867055879899918125e+01
1.327773144286905804e+01,1.999996483415184891e-09,1.000000000000000000e+01,2.750212108385025422e-06,1.327773144286906302e+02,7.966638865721435536e+01
1.344370308590492158e+01,1.999997007120621344e-09,1.000000000000000178e+01,2.787389696028015280e-06,1.344370308590492584e+02,8.066221851542954369e+01
1.360967472894078512e+01,1.999997450728128355e-09,1.000000000000000178e+01,2.824567292641972587e-06,1.360967472894078867e+02,8.165804837364473201e+01
1.377564637197664865e+01,1.999997826474617618e-09,1.000000000000000000e+01,2.861744896856363307e-06,1.377564637197665149e+02,8.265387823185990612e+01
1.394161801501251219e+01,1.999998144730625354e-09,1.000000000000000178e+01,2.898922507509688003e-06,1.394161801501251432e+02,8.364970809007509445e+01
