t,node1_u,node1_w,node1_x,node1_c1,node1_c2,node1_z,node1_h,node2_u,node2_w,node2_x,node2_c1,node2_c2,node2_z,node2_h
0.26,0.9741182040668293,0.978168696157106,0.006678967776476508,0.004050492090323967,0.0019563476848153635,0.0016519471138349746,2.9996449697037646e-05,0.9744502514021836,0.9784417562961837,0.006581592208798159,0.003991504894149353,0.001926660816870989,0.00162485543915891,2.6856159745590103e-05
0.265,0.9740037086381174,0.978078718432283,0.006720086293493103,0.004075009794213138,0.001967920022505439,0.0016619640661887556,3.038755267897944e-05,0.9743341321923291,0.9783503504771465,0.006622449091642703,0.004016218284965337,0.001938649551901804,0.0016351636581425045,2.7325976245471446e-05
0.27,0.9738883073821973,0.9779879845082289,0.0067614118506630905,0.004099677126079205,0.001979581746849893,0.001672044064734387,3.077742011724359e-05,0.9742171696908205,0.9782582305029812,0.006663614311736044,0.004041060812307502,0.0019506665461018482,0.0016455358104741523,2.779218811162087e-05
0.275,0.9737720010147677,0.9778964933083677,0.006802951329426895,0.004124492293647993,0.0019913290800203996,0.0016821890977986064,3.116609672250366e-05,0.9740993527944091,0.9781653907084956,0.006705081765320153,0.004066037914232243,0.001962718376703766,0.0016559686589245378,2.8254924529326808e-05
0.28,0.9736547894384829,0.9778042435528441,0.0068447110662596825,0.004149454114409409,0.0020031588540906048,0.0016924006116289803,3.1553627703784195e-05,0.9739806715733391,0.9780718256195264,0.006746845963684625,0.004091154046331751,0.0019748107725654786,0.00166645990355403,2.871431090478441e-05
0.28500000000000003,0.9735366718347843,0.977711233756115,0.006886696850771013,0.004174561921379218,0.0020150684587980573,0.0017026796119056207,3.19400586731703e-05,0.9738611171487624,0.9779775299664628,0.006788902069128701,0.00411641281784355,0.001986948673435382,0.001677008029588255,2.9170468893412843e-05
0.29,0.9734176467904856,0.9776174622413427,0.006928913968645919,0.004199815450905898,0.002027055757374396,0.0017130267754301928,3.232543552862879e-05,0.9737406815158325,0.9778824986777666,0.00683124587035363,0.0041418171620760886,0.001999136337727286,0.0016876121298697588,2.9623516671557935e-05
0.295,0.9732977124054804,0.9775229271583192,0.006971367253023459,0.004225214752887942,0.002039119010925468,0.0017234425360869172,3.270980435638104e-05,0.9736193573904021,0.9777867268662623,0.006873873737567481,0.004167369476001146,0.0020113774427366854,0.0016982717640511835,3.007356923427288e-05
0.3,0.9731768663414171,0.9774276264830992,0.007014061088945572,0.004250760141731256,0.0020512568487704606,0.001733927136934411,3.309321134907279e-05,0.9734971381409618,0.9776902098333655,0.0069167826359708895,0.004193071692543387,0.002023675119018117,0.0017089868791670163,3.0520738313511e-05
0.305,0.9730551059168497,0.9773315580419305,0.0070569994798596455,0.004276452125130181,0.002063468195952969,0.0017444806932122225,3.34757027230865e-05,0.9733740176491606,0.9775929430452315,0.006959970051717946,0.004218925396209413,0.0020360320511587007,0.0017197576998926422,3.0965132740536545e-05
0.31,0.9729324281639126,0.9772347195239414,0.007100186084835237,0.004302291360078367,0.0020757522304208553,0.0017551032322426139,3.385732465165268e-05,0.9732499902258391,0.977494922119811,0.007003433953177772,0.004244931894109374,0.0020484505365293516,0.0017305846600581892,3.140685858815932e-05
